ad_iD,Collector name,Shop name,Ad name,Description,Pic,Brand,Model,Price,Type/Year,Suuq,Negotiable,state,Contact
537,Faysal,87 Klassy Shoes ,kabaha sports ,kabihii sports oo nooc walba leh ,https://drive.google.com/file/d/15MNV0wE7-Ntx-rmeO_uHn_WkqTegNhOn/view?usp=drivesdk,kabo sports,kabo ,$55,,Personal Accessories,TRUE ,Hargeisa,call:063:7563866
538,Faysal,88 Sultan Style,suit ,suudhadh kala duwan ,https://drive.google.com/file/d/1675LoQhj6GDQeKaS5cU68zXBHykGop-n/view?usp=drivesdk,suit ,suit,$120,,Personal Accessories,TRUE ,Hargeisa,call;063:4408828
539,Faysal,88 Sultan Style,macamuusyo ,macamuusyadii oo aad u qurux badan,https://drive.google.com/file/d/16MnMfv2z4xD1Qhisxt0TuiSOf71T-a8S/view?usp=drivesdk,macamuus ,macamuus ,$38,,Personal Accessories,TRUE ,Hargeisa,call;063:4408828
540,Faysal,88 Sultan Style,shaadh ,shaadhadhkii dhalinta oo ah noocii dunta adkaa ka samaysnaa ,https://drive.google.com/file/d/16I6deakE9J8BujPiXJ3PGyDvgwk-WoGI/view?usp=drivesdk,shaadh,shaadh,$14,,Personal Accessories,TRUE ,Hargeisa,call;063:4408828
541,Faysal,89 Kayse Bushaaro,xafaayadii la maydhaayey ,waa xafaayad aanad tuurayn oo aad maydhayso marka ay uskag naqoto ,https://drive.google.com/file/d/16HHdsQ2FPFp7QTiv9Ne-GtX8LRy2LEHu/view?usp=drivesdk,xafaayad,xafaayad ciyaal,$45,,Personal Accessories,TRUE ,Hargeisa,call:063:4965541
542,Faysal,89 Kayse Bushaaro,buulka caruuta ,ku ciyaarsii caruurtaada qalabkan ,https://drive.google.com/file/d/15W0LZOlnQVW-0GpO4fz_YehtAyPlogCw/view?usp=drivesdk,Bowling,Boling caruur,$26,,Personal Accessories,TRUE ,Hargeisa,call:063:4965541
543,Faysal,89 Kayse Bushaaro,mooto,waa mootadii ciyaalka ku ciyaarayeen ,https://drive.google.com/file/d/15A7vCuuY7yD7Y5QA4p4x3sli3ys0BXpT/view?usp=drivesdk,mooto,mooto caruur,$65,,Personal Accessories,TRUE ,Hargeisa,call:063:4965541
544,Faysal,90 Qaran Shopping Center,buudhkii caruurta,Buudhkii ciyaalka oo aad u qurux badan ,https://drive.google.com/file/d/161NUEUSCWAuT-mGpuohGazuQNXVcDl11/view?usp=drivesdk,Buudh,kabo ,$14,,Personal Accessories,TRUE ,Hargeisa,call:063:3138888
545,Faysal,90 Qaran Shopping Center,sulwaalo gaagaabka ,sulwaaladii raga noocii gaagaabka ahaa oo aad u qurux badan ,https://drive.google.com/file/d/14sfJm4UUKOeoBOCRvpV3Q9KVvwZE3eUm/view?usp=drivesdk,sulwaal,gaagaab,$13,,Personal Accessories,TRUE ,Hargeisa,call:063:3138888
546,Faysal,90 Qaran Shopping Center,Pediasure,waa caanihii caruurta oo aad u fiican ,https://drive.google.com/file/d/16MUMJpgnz3v-OBIYO8yEAqDM2uGQS6zz/view?usp=drivesdk,Pediasure,caano ,$17,,Personal Accessories,TRUE ,Hargeisa,call:063:3138888
547,Faysal,91 Danwadaag Online ,Escuudo,Escudo waa gaadhi aad u raaxo baan oo fiican ,https://drive.google.com/file/d/15TlZqtEBDqta7x-f6PuA12a2SF5FebFw/view?usp=drivesdk,TOYOTA,Escudo,"$6,900",2008,Cars,TRUE ,Hargeisa,call:063:4174853
548,Faysal,91 Danwadaag Online ,Izuzud,Izuzud waa gaadhi aad wax walba ku raran karto ,https://drive.google.com/file/d/15Fv6VQwRKM0dFkTVOsbutol0vZwe5ozw/view?usp=drivesdk,Izuzud ,Izuzud,"$11,000",2008,Cars,TRUE ,Hargeisa,call:063:4174853
549,Faysal,91 Danwadaag Online ,Vitz,Vitz waa gaadhi shaqo oo aad u fiican ,https://drive.google.com/file/d/16oiSPHxIEd2ZN90SoyBoVc55NKxCOcyA/view?usp=drivesdk,TOYOTA,Vitz,"$5,200",2004,Cars,TRUE ,Hargeisa,call:063:4174853
550,Faysal,92 Diomond home decoration,Flowers Garden ,waa ubaxyo aad u qurux badan ,https://drive.google.com/file/d/18-woqCo5eyQxzEwAebBjEZeJsgg6WUCR/view?usp=drivesdk,Flowers,Ubax,$15,,Real-state,TRUE ,Hargeisa,call:063:4473736
551,Faysal,92 Diomond home decoration,Dahyada Ramadaanta ,waa Dahyada Ramadanta oo kala duwan ,https://drive.google.com/file/d/17sma0oL3V4_vB8KzXhSEw_zCFQDt1eRf/view?usp=drivesdk,Dah,Daha Ramadanta,$15,,Real-state,TRUE ,Hargeisa,call:063:4473736
552,Faysal,92 Diomond home decoration,Chanel ,waa Gogashii sariirta ,https://drive.google.com/file/d/187BjIvaAjzuu7R7jHf30nx9NW5kF_fQX/view?usp=drivesdk,Chanel,Gogal,$30,,Personal Accessories,TRUE ,Hargeisa,call:063:4473736
553,Faysal,93 Al futaah store ,Funaanad,funaanadihii xaraga oo aad u qurux badan ,https://drive.google.com/file/d/1EeYezJkd0chf9Oz2p-n7cMai6IELiu13/view?usp=drivesdk,Funaanad ,funaanad xarago,$12,,Personal Accessories,TRUE ,Hargeisa,call:063:4669302
554,Faysal,93 Al futaah store ,isku joog ,isku joog caruur oo ka kooban sadex shay shaadh surwaal shaayad,https://drive.google.com/file/d/1EjgW6W1WE0uXC-lA0wYKP2Gkb7aZuOVG/view?usp=drivesdk,isku joog ,surwaal shaadh shaayad,$15,,Personal Accessories,TRUE ,Hargeisa,call:063:4669302
555,Faysal,93 Al futaah store ,Kabo ,kabo hablo yaryar oo aad u qurxoon ,https://drive.google.com/file/d/1Emro3otneNX8eC9vRzjF_9isTVkJREnC/view?usp=drivesdk,kabo,kabo hablo yaryar,$14,,Personal Accessories,TRUE ,Hargeisa,call:063:4669302
556,Faysal,94 Africa cosmetics,malab ,malabkii shinida oo aad u macaan ,https://drive.google.com/file/d/1G9Sy4sefp57yWKK-gn8T6cqYTHiBR-x_/view?usp=drivesdk,saafi,malab ,$20,,Real-state,TRUE ,Hargeisa,call:063:3602193
557,Faysal,94 Africa cosmetics,Forever Epiblanc ,waa kariimkii wajiga nafaqaynayey,https://drive.google.com/file/d/1G018kagDHMNy2W_mDezITuR9hPdBJT5R/view?usp=drivesdk,forever ,kiriim,$18,,Personal Accessories,TRUE ,Hargeisa,call:063:3602193
558,Faysal,94 Africa cosmetics,iskoda,iskoda  waa cadar aad u udgoon ,https://drive.google.com/file/d/1GDDaDaPOB7ehA-Jf4U3L-c6-5HESVrZ3/view?usp=drivesdk,iskoda ,cadar,$38,,Personal Accessories,TRUE ,Hargeisa,call:063:3602193
559,Faysal,95 Awal stryle ,Dharka ciyaarta ,dharka ciyaarta ee ciyaalka oo aad uga farxinaya caruurta ,https://drive.google.com/file/d/1Awr06cFmSBtch2nJh3mFP2cdEttCGbYF/view?usp=drivesdk,baby Buubee,Buubee,$27,,Personal Accessories,TRUE ,Hargeisa,call:063:4746578
560,Faysal,95 Awal stryle ,Socod bare ,waa socod baraha caruurta ,https://drive.google.com/file/d/1Atz3IWfrJ-_os2qryX9RJ6gSI8aUjNTZ/view?usp=drivesdk,Socod bare  ,xool,$34,,Personal Accessories,TRUE ,Hargeisa,call:063:4746578
561,Faysal,95 Awal stryle ,Shaadhka caruurta ,Shaashka caruurta oo kala duwan ,https://drive.google.com/file/d/1AsECGnpOp55Hd2Sk6XmNgqpv6A0p0ikZ/view?usp=drivesdk,shaadh ,Shaadh,$7,,Personal Accessories,TRUE ,Hargeisa,call:063:4746578
562,Faysal,96 Caruur bila ,Biinanka timaha ,waa biinankii hablaha loogu xidhaayey timaha ,https://drive.google.com/file/d/1AjfTf4JmFsyFukCSP-huIzP_JdFCBwiR/view?usp=drivesdk,Biin,Biinan,$4,,Personal Accessories,TRUE ,Hargeisa,call:063:4145767
563,Faysal,96 Caruur bila ,Kabaha hablaha ,waa kabihii hablaha oo aad u qurxoon ,https://drive.google.com/file/d/1AmcUbNyU_OA7hqtOr30XNFkg-oJBh_Ur/view?usp=drivesdk,Kabo,Kabo hablo,$18,,Personal Accessories,TRUE ,Hargeisa,call:063:4145767
564,Faysal,96 Caruur bila ,Surwaalada hablaha ,surwaaladii hablaha oo kala duwan ,https://drive.google.com/file/d/1AzQes3HiFZKpF1DKjXBK53S9QTjKLnKl/view?usp=drivesdk,Surwaal ,Surwaal Hablo,$12,,Personal Accessories,TRUE ,Hargeisa,call:063:4145767
565,Faysal,97 Khadanoosh,shaadh ,shaadhadhkii raga oo kal duwan ,https://drive.google.com/file/d/1FjiQnWrDDB2dYoex6Zoj31JsQPAc5bnb/view?usp=drivesdk,shaadh ,shaadh rag,$12,,Personal Accessories,TRUE ,Hargeisa,call:063:4239045
566,Faysal,97 Khadanoosh,isku joog,isku joog macamuus shaadh cumaamad sandal bakoorad,https://drive.google.com/file/d/1FSn2xJcFwXLXDkLQNWb85M4Z4nl4E0eC/view?usp=drivesdk,isku joog,cumaamad macamuus shaadh bokoorad sandal ,$45,,Personal Accessories,TRUE ,Hargeisa,call:063:4239045
567,Faysal,97 Khadanoosh,isku joog hablo,isku joog Toob kabo shandad,https://drive.google.com/file/d/1FsU5pngKRXLkC-m2UROY91-SsXabp0tS/view?usp=drivesdk,isku joog ,Toob kabo boorso ,$50,,Personal Accessories,TRUE ,Hargeisa,call:063:4239045
568,Faysal,98 Alfa tech ,Lenovo,Lenovo waa laabtoob aad u fiican 4GB Hdd 500GB,https://drive.google.com/file/d/1FCeRwRpIW_UmONv5yxsMRxBmPKaW5XEA/view?usp=drivesdk,Lenovo,Laptop,$235,,Devices,TRUE ,Hargeisa,call:063:3333651
569,Faysal,98 Alfa tech ,Iphone 8 plus,Iphone 8 plus waa moobil aad u fiican waxa uu qaadayaa 256GB,https://drive.google.com/file/d/1FGzzlRfWkOt92y01-969SEYHd5p3HiuE/view?usp=drivesdk,Apple,iphone,$435,,Devices,TRUE ,Hargeisa,call:063:3333651
570,Faysal,98 Alfa tech ,Pest Reject,waa dilaha cayayaanka waxana galinaysaa fiishta ,https://drive.google.com/file/d/1EuwK9c3czDPCgkKWJDgStZPgBIV63SEg/view?usp=drivesdk, Reject,Dile cayayaan ,$35,,Devices,TRUE ,Hargeisa,call:063:3333651
571,Faysal,99 Saacid cosmetics ,fargalo ,fargalo aad u qurux badan ,https://drive.google.com/file/d/17vDpoB9X3Q6fpnUTd55CHNWmTQAEY2yN/view?usp=drivesdk,Fargal,fargal,$4/ $5,,Personal Accessories,TRUE ,Hargeisa,call:063:7153700
572,Faysal,99 Saacid cosmetics ,cadar ,cadar aad u udgoon ,https://drive.google.com/file/d/17uKtgI60VcK0CbkyZC-_IXr-1eJTHK-Y/view?usp=drivesdk,Cadar,cadaro,$13,,Personal Accessories,TRUE ,Hargeisa,call:063:7153700
573,Faysal,99 Saacid cosmetics ,Hair wrap,waa tuwaalkii madaxa ,https://drive.google.com/file/d/18-QBqpddQY-N4t8fBGdECZSkN3bsFft-/view?usp=drivesdk,Hair wrap,Tuwaal,$7,,Personal Accessories,TRUE ,Hargeisa,call:063:7153700
574,Faysal,100 Khaliifa style,Toobabka Hablaha ,Toobabka hablaha oo kala duwan ,https://drive.google.com/file/d/189jzAAmsEUtGmFEDJNn0OxHTKiZyJ-9U/view?usp=drivesdk,Toob,Toobab,$45,,Personal Accessories,TRUE ,Hargeisa,call:063:4438397
575,Faysal,100 Khaliifa style,Boorso ,Boorsooyinkii Dumarka ,https://drive.google.com/file/d/18BnmSmZX9SNTXHQUihB2j9S7JHu9xL0a/view?usp=drivesdk,Boorso,Boorsooyin ,$26,,Personal Accessories,TRUE ,Hargeisa,call:063:4438397
576,Faysal,100 Khaliifa style,Toobabkii Caruurta yaryar ,Toobabkii Caruurta yaryar ee hablaha oo aad u qurux badan ,https://drive.google.com/file/d/17Z1Z3S63raxVmcOVk5gM8g8NtLw_kL2k/view?usp=drivesdk,Toob,Toobab caruur,$24,,Personal Accessories,TRUE ,Hargeisa,call:063:4438397
577,Faysal,101 Ahlam industry,Trlple Clean,waa nadiifiyaha suuliga ,https://drive.google.com/file/d/1HGlTqExNxWuGWSGnViCyrnRPTFrFmNCm/view?usp=drivesdk,Clean,Nadiifiye Suuli,$8,,,TRUE ,Hargeisa,call:063:3653123
578,Faysal,101 Ahlam industry,Trlple Clean,waxa uu udgoonaynayaa ,https://drive.google.com/file/d/1HHaSc29S05_pE4YyByIJiBcJ-KeDHbXQ/view?usp=drivesdk,Clean,Udgooneeye,$14,,,TRUE ,Hargeisa,call:063:3653123
579,Faysal,101 Ahlam industry,Cleaner Lavender,nadiifiye Guri,https://drive.google.com/file/d/1H74G52yr3QvWOdZWbD240sqiqJWgZMtU/view?usp=drivesdk,Clean,Nadiifiye Guri,$18,,,TRUE ,Hargeisa,call:063:3653123
580,Faysal,102 Sugaal style ,Shaadhadh,shaadhadhkii raga oo kala duwan ,https://drive.google.com/file/d/17tCfVHn3CUieCdSJ8Kr2dq4n4bnUPVB0/view?usp=drivesdk,Shadhadh,Shadhadhkii raga ,$13,,Personal Accessories,TRUE ,Hargeisa,call:063:44839066
581,Faysal,102 Sugaal style ,Garamaan ,Garamaantii raga oo noocwalba leh ,https://drive.google.com/file/d/17u2S8A0ILG_WYaD_DWEOzMMOgPDUD-i0/view?usp=drivesdk,Garamaan,Garamaantii raga,$8,,Personal Accessories,TRUE ,Hargeisa,call:063:44839066
582,Faysal,102 Sugaal style ,Suit,Suudhadhkii ,https://drive.google.com/file/d/17jXRhsFzEiPdggXpiz14Zouh_WaGu1y3/view?usp=drivesdk,Suit,Suudhadh,$45,,Personal Accessories,TRUE ,Hargeisa,call:063:44839066
583,Faysal,103 Dheeman Online Shop,Romncia ,Romncia waa cadar aad u udgoon ,https://drive.google.com/file/d/16DinWldTgdRXRpkpXBxhyI5e-nG41REl/view?usp=drivesdk,Romncia ,cadar,$34,,Personal Accessories,TRUE ,Hargeisa,call:063:4268425
584,Faysal,103 Dheeman Online Shop,surwaalo ,saraawiishii raga oo kala duwan ,https://drive.google.com/file/d/15ukLTf2o2FS3JeKyjgJgH-qPNcYrgk_R/view?usp=drivesdk,surwaalo,suwaalo rag,$18,,Personal Accessories,TRUE ,Hargeisa,call:063:4268425
585,Faysal,103 Dheeman Online Shop,kabo dumar,kabihii dumarka oo kala duwan ,https://drive.google.com/file/d/14pzmVi_EBjqDOvhYjZAGFkWy0NTO4NYu/view?usp=drivesdk,Kabo ,kabihii dumarka ,$45,,Personal Accessories,TRUE ,Hargeisa,call:063:4268425
586,Faysal,104 Gorgor Suits,Cumaamado,waa cumaamadihii oo kala duwan ,https://drive.google.com/file/d/16rfMes5pZu9UN6yYhw98JB-4hxWQFY_2/view?usp=drivesdk,cumaamad,cumaamad,$12,,Personal Accessories,TRUE ,Borama,call:063:4511304
587,Faysal,104 Gorgor Suits,Kabo xarago ,kabihii xaragada oo aad u qurux badan ,https://drive.google.com/file/d/16rJzCPa56G3h8yU9WhoXXPDXfHVkF6Xm/view?usp=drivesdk,kabo xarago,kabo,$25,,Personal Accessories,TRUE ,Borama,call:063:4511304
588,Faysal,104 Gorgor Suits,Acqua Parisis,waa cadar aad u udgoon ,https://drive.google.com/file/d/16qZ0wDIfU6mr-q_GRFMjb8DcvHjrYlVu/view?usp=drivesdk,Acqua parisis,cadar,$320,,Personal Accessories,TRUE ,Borama,call:063:4511304
589,Faysal,105 Ubadka,Marokaneeco Vip,marokaneeco vip ah oo caruurta u fiican ,https://drive.google.com/file/d/1AzsCHTIH7Gdk3PUPlwbmyLFHpyHYq9-J/view?usp=drivesdk,marakaneeco ,marakaneeco,$15,,Personal Accessories,TRUE ,Hargeisa,call:063:7436444
