ad_iD,Collector name,Shop Name,Ad name,Description,Pic,Brand,Model,Price,Type/Year,Suuq,Negotiable,state,Contact,File_name
67,Faysal,4 Africa eElectric,iPhone 12 pro max 256GB ,IPhone 12 Pro max /256GB oo cusub iib ,https://drive.google.com/file/d/18hrHikfhyZsqNbIxnTX9ivOHlbvepl44/view?usp=drivesdk,Apple,Iphone 12,"$1,280",,Devices,TRUE,Hagreisa,Call-063:4104084,Africa 2.jpg
68,Faysal,4 Africa eElectric,Gwd Fashion Hair Dryer,High GW-692 Qalabka timaha lagu qalajiyoiib ,https://drive.google.com/file/d/1Ay1jdibPfIPY1HqHz65cXj19Dp7kzXce/view?usp=drivesdk,GWD,GW-692,$20,,Personal Accessories,TRUE,Hagreisa,Call-063:4104084,Africa 5.jpg
69,Faysal,5 Danjire Center,Caviar mask,caviar mask oo cusub iib ,https://drive.google.com/file/d/1GjvJVp-CIodqQysIoEL0T5DjDkXnqbXk/view?usp=drivesdk,Aichun beauty,whiting complex,$5,,Personal Accessories,TRUE,Hagreisa,Call-063:4104084,Danjire 4.jpg
70,Faysal,5 Danjire Cente,hair colour cream ,madaw waysadii timaha iib ,https://drive.google.com/file/d/1M1lGUDxG3GJqj86rTjD4zko-bl5KHHRr/view?usp=drivesdk,Cruset,Cruset,$4,,Personal Accessories,TRUE,Hagreisa,Call-063:3334337,Danjire 3.jpg
71,Faysal,5 Danjire Cente,LaFresh,Gelka timaha lagu adkeeyo ,https://drive.google.com/file/d/1GaENWqtLMZBKvgqgtfTOZo3BPYOWTef8/view?usp=drivesdk,LaFresh,LaFresh,$$1,,Personal Accessories,TRUE,Hagreisa,Call-063:3334337,Danjire 2.jpg
72,Faysal,5 Danjire Cente,Angel ,Angel toonta timaha ka baabiisa toxobta ,https://drive.google.com/file/d/1HCNu8zrKNBTTp7J2Z5MkTDpIZCu2utM_/view?usp=drivesdk,Angel,Angel,$5,,Personal Accessories,TRUE,Hagreisa,Call-063:3334337,Danjire 1.jpg
73,Faysal,5 Danjire Cente,A B S Coconut OIL ,A B S Coconut Oil waa saliidii Timaha oo udgoon,https://drive.google.com/file/d/1MeHQqy59zqjis-_hDOrgGohgh9gtuRlk/view?usp=drivesdk,A.B.S.,A.B.S.,$6,,Personal Accessories,TRUE,Hagreisa,Call-063:3334337,Danjire .jpg
74,Faysal,6 Muuqaal Electric,Ofinkii chickenka ,Ofinkii chickenka iib ,https://drive.google.com/file/d/18Mx640Na9TVFhcXXtKcjPDvRnmUD_846/view?usp=drivesdk,Geepas,Geepas,$95,,Personal Accessories,TRUE,Hagreisa,Call-063:3334337,Muuqaal Electric .jpg
75,Faysal,6 Muuqaal Electric,ofinkii khudaarta ,ofinkii khudaarta iib ,https://drive.google.com/file/d/1YAn3BZ_MnrJlKiNs4rJyEKmFzlx95tHC/view?usp=drivesdk,,,$80,,Personal Accessories,TRUE,Hagreisa,Call-511445,Muuqaal Electric .jpg
76,Faysal,6 Muuqaal Electric,Shawlada gaaska ,Shawlada gaas ku shaqaysa oo dusha sare quraarad tahay,https://drive.google.com/file/d/18Tc84W4pXEnETRXczGzHkz7IztEdxRRk/view?usp=drivesdk,Geepas,GK6884FFD,$45,,Personal Accessories,TRUE,Hagreisa,Call-511445,Muuqaal .jpg
77,Faysal,6 Muuqaal Electric,Falaasta ku shaqaysa laydhka ,Falaasta ku shaqaysa laydhka NIKURA ,https://drive.google.com/file/d/17oYSIvuE7kOu7myaWUA2gCZ_oDM53ALx/view?usp=drivesdk,NIKURA,AK1722SS,$13,,Personal Accessories,TRUE,Hagreisa,Call-511445,Muuqaal s.jpg
